measure,year,value
Units Collected,2007,9138000
Weight Collected (Tonnes),2007,607.4
Units Collected,2008,9921000
Weight Collected (Tonnes),2008,695
Units Collected,2009,10037000
Weight Collected (Tonnes),2009,787.6
Units Collected,2010,9682000
Weight Collected (Tonnes),2010,787.8
Units Collected,2011,9185000
Weight Collected (Tonnes),2011,712.5
Units Collected,2012,9081000
Weight Collected (Tonnes),2012,704.9
Units Collected,2013,8829000
Weight Collected (Tonnes),2013,-99999
Units Collected,2014,9194000
Weight Collected (Tonnes),2014,746.5
Units Collected,2015,9685000
Weight Collected (Tonnes),2015,787.4
Units Collected,2016,9924000
Weight Collected (Tonnes),2016,809
Units Collected,2017,10300000
Weight Collected (Tonnes),2017,-99999
