measure,year,value
Units Collected,2007,10193000
Weight Collected (Tonnes),2007,561.2
Units Collected,2008,10488000
Weight Collected (Tonnes),2008,621.7
Units Collected,2009,10445000
Weight Collected (Tonnes),2009,663.4
Units Collected,2010,9959000
Weight Collected (Tonnes),2010,637.7
Units Collected,2011,9870000
Weight Collected (Tonnes),2011,594.6
Units Collected,2012,10184000
Weight Collected (Tonnes),2012,597
Units Collected,2013,11047000
Weight Collected (Tonnes),2013,640.9
Units Collected,2014,9895000
Weight Collected (Tonnes),2014,609.6
Units Collected,2015,9439000
Weight Collected (Tonnes),2015,585
Units Collected,2016,9751000
Weight Collected (Tonnes),2016,594.1
Units Collected,2017,9826000
Weight Collected (Tonnes),2017,580.7
