measure,year,value
Units Collected,2007,82586000
Weight Collected (Tonnes),2007,7440.6
Units Collected,2008,88853000
Weight Collected (Tonnes),2008,8500.4
Units Collected,2009,88293000
Weight Collected (Tonnes),2009,9526.2
Units Collected,2010,86389000
Weight Collected (Tonnes),2010,9964.9
Units Collected,2011,82747000
Weight Collected (Tonnes),2011,8815.1
Units Collected,2012,-99999
Weight Collected (Tonnes),2012,8669.5
Units Collected,2013,79980000
Weight Collected (Tonnes),2013,8798.4
Units Collected,2014,80617000
Weight Collected (Tonnes),2014,8986.5
Units Collected,2015,81501000
Weight Collected (Tonnes),2015,9069.9
Units Collected,2016,83461000
Weight Collected (Tonnes),2016,9257.7
Units Collected,2017,84056000
Weight Collected (Tonnes),2017,9231.6
