measure,year,value
Units Collected,2007,615000
Weight Collected (Tonnes),2007,46.3
Units Collected,2008,635000
Weight Collected (Tonnes),2008,47.1
Units Collected,2009,673000
Weight Collected (Tonnes),2009,53.6
Units Collected,2010,583000
Weight Collected (Tonnes),2010,48.2
Units Collected,2011,598000
Weight Collected (Tonnes),2011,47.1
Units Collected,2012,583000
Weight Collected (Tonnes),2012,41.9
Units Collected,2013,603000
Weight Collected (Tonnes),2013,42.7
Units Collected,2014,534000
Weight Collected (Tonnes),2014,36.5
Units Collected,2015,562000
Weight Collected (Tonnes),2015,34.5
Units Collected,2016,664000
Weight Collected (Tonnes),2016,39.6
Units Collected,2017,590000
Weight Collected (Tonnes),2017,34.7
