measure,year,value
Units Collected,2007,13225000
Weight Collected (Tonnes),2007,1170.8
Units Collected,2008,13320000
Weight Collected (Tonnes),2008,1228.1
Units Collected,2009,13740000
Weight Collected (Tonnes),2009,1390.8
Units Collected,2010,13181000
Weight Collected (Tonnes),2010,1382.4
Units Collected,2011,12561000
Weight Collected (Tonnes),2011,1247.4
Units Collected,2012,11876000
Weight Collected (Tonnes),2012,1204.2
Units Collected,2013,11589000
Weight Collected (Tonnes),2013,1213.6
Units Collected,2014,11439000
Weight Collected (Tonnes),2014,1215.5
Units Collected,2015,12079000
Weight Collected (Tonnes),2015,1250.8
Units Collected,2016,12255000
Weight Collected (Tonnes),2016,1256.5
Units Collected,2017,12801000
Weight Collected (Tonnes),2017,1247.8
