measure,year,value
Units Collected,2007,44590000
Weight Collected (Tonnes),2007,3600.1
Units Collected,2008,48619000
Weight Collected (Tonnes),2008,4218.8
Units Collected,2009,48772000
Weight Collected (Tonnes),2009,4615.8
Units Collected,2010,46737000
Weight Collected (Tonnes),2010,4693.1
Units Collected,2011,46116000
Weight Collected (Tonnes),2011,4348.9
Units Collected,2012,45243000
Weight Collected (Tonnes),2012,4355.6
Units Collected,2013,45197000
Weight Collected (Tonnes),2013,4470.7
Units Collected,2014,45406000
Weight Collected (Tonnes),2014,4591.5
Units Collected,2015,47680000
Weight Collected (Tonnes),2015,4793.3
Units Collected,2016,-99999
Weight Collected (Tonnes),2016,4970.8
Units Collected,2017,52183000
Weight Collected (Tonnes),2017,5119.9
