measure,year,value
Units Collected,2007,14708000
Weight Collected (Tonnes),2007,1166.3
Units Collected,2008,15692000
Weight Collected (Tonnes),2008,1325.7
Units Collected,2009,15992000
Weight Collected (Tonnes),2009,1545.7
Units Collected,2010,14757000
Weight Collected (Tonnes),2010,1418.2
Units Collected,2011,14143000
Weight Collected (Tonnes),2011,1269.7
Units Collected,2012,14258000
Weight Collected (Tonnes),2012,1292.4
Units Collected,2013,14435000
Weight Collected (Tonnes),2013,1356.4
Units Collected,2014,14642000
Weight Collected (Tonnes),2014,1363.6
Units Collected,2015,15368000
Weight Collected (Tonnes),2015,1391.1
Units Collected,2016,15168000
Weight Collected (Tonnes),2016,1400.8
Units Collected,2017,15690000
Weight Collected (Tonnes),2017,1414.5
