measure,year,value
Units Collected,2007,21505000
Weight Collected (Tonnes),2007,1463.8
Units Collected,2008,23150000
Weight Collected (Tonnes),2008,1692.6
Units Collected,2009,23358000
Weight Collected (Tonnes),2009,1896.8
Units Collected,2010,22256000
Weight Collected (Tonnes),2010,1916.1
Units Collected,2011,21226000
Weight Collected (Tonnes),2011,1746
Units Collected,2012,21042000
Weight Collected (Tonnes),2012,1741.5
Units Collected,2013,20808000
Weight Collected (Tonnes),2013,1763.6
Units Collected,2014,20454000
Weight Collected (Tonnes),2014,1774.8
Units Collected,2015,21443000
Weight Collected (Tonnes),2015,1838.6
Units Collected,2016,22176000
Weight Collected (Tonnes),2016,1893.3
Units Collected,2017,22880000
Weight Collected (Tonnes),2017,1952.9
