measure,year,value
Units Collected,2007,17347000
Weight Collected (Tonnes),2007,1214.1
Units Collected,2008,18885000
Weight Collected (Tonnes),2008,1418.5
Units Collected,2009,-99999
Weight Collected (Tonnes),2009,1508.8
Units Collected,2010,16557000
Weight Collected (Tonnes),2010,1481.2
Units Collected,2011,15941000
Weight Collected (Tonnes),2011,1337
Units Collected,2012,15473000
Weight Collected (Tonnes),2012,1314.7
Units Collected,2013,15524000
Weight Collected (Tonnes),2013,1349.4
Units Collected,2014,15425000
Weight Collected (Tonnes),2014,1366.1
Units Collected,2015,15716000
Weight Collected (Tonnes),2015,1355.8
Units Collected,2016,15730000
Weight Collected (Tonnes),2016,1349.3
Units Collected,2017,16215000
Weight Collected (Tonnes),2017,1352.2
