measure,year,value
Units Collected,2007,66867000
Weight Collected (Tonnes),2007,4152.5
Units Collected,2008,71686000
Weight Collected (Tonnes),2008,4868.6
Units Collected,2009,74147000
Weight Collected (Tonnes),2009,5456.8
Units Collected,2010,71024000
Weight Collected (Tonnes),2010,5327.8
Units Collected,2011,67227000
Weight Collected (Tonnes),2011,4724.5
Units Collected,2012,67005000
Weight Collected (Tonnes),2012,4824.4
Units Collected,2013,69105000
Weight Collected (Tonnes),2013,5192.1
Units Collected,2014,69844000
Weight Collected (Tonnes),2014,5226.5
Units Collected,2015,73026000
Weight Collected (Tonnes),2015,5144.4
Units Collected,2016,74508000
Weight Collected (Tonnes),2016,5279.9
Units Collected,2017,75774000
Weight Collected (Tonnes),2017,5439.6
