measure,year,value
Units Collected,2007,27657000
Weight Collected (Tonnes),2007,1687.8
Units Collected,2008,29725000
Weight Collected (Tonnes),2008,1943.7
Units Collected,2009,29379000
Weight Collected (Tonnes),2009,2082.9
Units Collected,2010,-99999
Weight Collected (Tonnes),2010,2054.6
Units Collected,2011,27425000
Weight Collected (Tonnes),2011,1811.2
Units Collected,2012,-99999
Weight Collected (Tonnes),2012,1823
Units Collected,2013,28395000
Weight Collected (Tonnes),2013,1911.4
Units Collected,2014,28777000
Weight Collected (Tonnes),2014,1941.2
Units Collected,2015,29504000
Weight Collected (Tonnes),2015,1970.3
Units Collected,2016,29185000
Weight Collected (Tonnes),2016,1910.8
Units Collected,2017,29510000
Weight Collected (Tonnes),2017,1914.3
