measure,year,value
Units Collected,2007,9938000
Weight Collected (Tonnes),2007,496.6
Units Collected,2008,10448000
Weight Collected (Tonnes),2008,565.9
Units Collected,2009,10353000
Weight Collected (Tonnes),2009,592.3
Units Collected,2010,10064000
Weight Collected (Tonnes),2010,590.4
Units Collected,2011,9561000
Weight Collected (Tonnes),2011,530
Units Collected,2012,10001000
Weight Collected (Tonnes),2012,548.7
Units Collected,2013,10293000
Weight Collected (Tonnes),2013,577.2
Units Collected,2014,11389000
Weight Collected (Tonnes),2014,648.3
Units Collected,2015,10733000
Weight Collected (Tonnes),2015,614.6
Units Collected,2016,10337000
Weight Collected (Tonnes),2016,595.4
Units Collected,2017,10144000
Weight Collected (Tonnes),2017,578.7
