measure,year,value
Units Collected,2007,7583000
Weight Collected (Tonnes),2007,503.8
Units Collected,2008,7835000
Weight Collected (Tonnes),2008,565.1
Units Collected,2009,7660000
Weight Collected (Tonnes),2009,605.1
Units Collected,2010,7108000
Weight Collected (Tonnes),2010,599.2
Units Collected,2011,7031000
Weight Collected (Tonnes),2011,558.5
Units Collected,2012,7024000
Weight Collected (Tonnes),2012,554.3
Units Collected,2013,6723000
Weight Collected (Tonnes),2013,551.1
Units Collected,2014,6620
Weight Collected (Tonnes),2014,549.8
Units Collected,2015,-99999
Weight Collected (Tonnes),2015,532.9
Units Collected,2016,6537000
Weight Collected (Tonnes),2016,519.3
Units Collected,2017,6716000
Weight Collected (Tonnes),2017,522
