measure,year,value
Units Collected,2007,461377000
Weight Collected (Tonnes),2007,37008.6
Units Collected,2008,492716000
Weight Collected (Tonnes),2008,41816
Units Collected,2009,498449000
Weight Collected (Tonnes),2009,46889.1
Units Collected,2010,475508000
Weight Collected (Tonnes),2010,47370.8
Units Collected,2011,455552000
Weight Collected (Tonnes),2011,43196
Units Collected,2012,445091000
Weight Collected (Tonnes),2012,42767.5
Units Collected,2013,440491000
Weight Collected (Tonnes),2013,43048.9
Units Collected,2014,434925000
Weight Collected (Tonnes),2014,43367.8
Units Collected,2015,448585000
Weight Collected (Tonnes),2015,44101
Units Collected,2016,444521000
Weight Collected (Tonnes),2016,43666.1
Units Collected,2017,452310000
Weight Collected (Tonnes),2017,43868.7
