measure,year,value
Units Collected,2007,3295000
Weight Collected (Tonnes),2007,209.5
Units Collected,2008,3515000
Weight Collected (Tonnes),2008,230.9
Units Collected,2009,3336000
Weight Collected (Tonnes),2009,236.6
Units Collected,2010,3205000
Weight Collected (Tonnes),2010,246.7
Units Collected,2011,3326000
Weight Collected (Tonnes),2011,228.5
Units Collected,2012,-99999
Weight Collected (Tonnes),2012,217.8
Units Collected,2013,3356000
Weight Collected (Tonnes),2013,217.8
Units Collected,2014,3375000
Weight Collected (Tonnes),2014,228.9
Units Collected,2015,3418000
Weight Collected (Tonnes),2015,228
Units Collected,2016,3510000
Weight Collected (Tonnes),2016,221.4
Units Collected,2017,3595000
Weight Collected (Tonnes),2017,220.7
