measure,year,value
Units Collected,2007,-99999
Weight Collected (Tonnes),2007,1768.1
Units Collected,2008,27356000
Weight Collected (Tonnes),2008,2034.9
Units Collected,2009,27778000
Weight Collected (Tonnes),2009,2195
Units Collected,2010,26569000
Weight Collected (Tonnes),2010,2204.2
Units Collected,2011,25861000
Weight Collected (Tonnes),2011,2023.8
Units Collected,2012,25586000
Weight Collected (Tonnes),2012,2013.8
Units Collected,2013,26100000
Weight Collected (Tonnes),2013,2093.6
Units Collected,2014,26609000
Weight Collected (Tonnes),2014,2151.8
Units Collected,2015,26524000
Weight Collected (Tonnes),2015,2180.9
Units Collected,2016,24301000
Weight Collected (Tonnes),2016,2110.4
Units Collected,2017,-99999
Weight Collected (Tonnes),2017,2183.4
