measure,year,value
Units Collected,2007,1712000
Weight Collected (Tonnes),2007,86
Units Collected,2008,1759000
Weight Collected (Tonnes),2008,101.5
Units Collected,2009,1822000
Weight Collected (Tonnes),2009,111.5
Units Collected,2010,2242000
Weight Collected (Tonnes),2010,125.3
Units Collected,2011,2710000
Weight Collected (Tonnes),2011,115.7
Units Collected,2012,3127000
Weight Collected (Tonnes),2012,125.1
Units Collected,2013,2197000
Weight Collected (Tonnes),2013,98.9
Units Collected,2014,1762000
Weight Collected (Tonnes),2014,91.7
Units Collected,2015,1800000
Weight Collected (Tonnes),2015,90.2
Units Collected,2016,1553000
Weight Collected (Tonnes),2016,76.7
Units Collected,2017,1382000
Weight Collected (Tonnes),2017,68.1
