measure,year,value
Units Collected,2007,21242000
Weight Collected (Tonnes),2007,1749.1
Units Collected,2008,22945000
Weight Collected (Tonnes),2008,1965.4
Units Collected,2009,22915000
Weight Collected (Tonnes),2009,2139.1
Units Collected,2010,21702000
Weight Collected (Tonnes),2010,2229.5
Units Collected,2011,21335000
Weight Collected (Tonnes),2011,2098.3
Units Collected,2012,20965000
Weight Collected (Tonnes),2012,2098.2
Units Collected,2013,21271000
Weight Collected (Tonnes),2013,2150.5
Units Collected,2014,21504000
Weight Collected (Tonnes),2014,2208
Units Collected,2015,22852000
Weight Collected (Tonnes),2015,2345.9
Units Collected,2016,24079000
Weight Collected (Tonnes),2016,2474.8
Units Collected,2017,25422000
Weight Collected (Tonnes),2017,2548.6
