measure,year,value
Units Collected,2007,15750000
Weight Collected (Tonnes),2007,910.5
Units Collected,2008,16733000
Weight Collected (Tonnes),2008,1030.7
Units Collected,2009,17052000
Weight Collected (Tonnes),2009,1116.9
Units Collected,2010,16822000
Weight Collected (Tonnes),2010,1119.1
Units Collected,2011,16505000
Weight Collected (Tonnes),2011,1025.3
Units Collected,2012,16886000
Weight Collected (Tonnes),2012,1036.3
Units Collected,2013,17300000
Weight Collected (Tonnes),2013,1060.7
Units Collected,2014,17412000
Weight Collected (Tonnes),2014,1088
Units Collected,2015,-99999
Weight Collected (Tonnes),2015,1102.5
Units Collected,2016,17084000
Weight Collected (Tonnes),2016,1008.8
Units Collected,2017,-99999
Weight Collected (Tonnes),2017,-99999
