measure,year,value
Units Collected,2007,4558000
Weight Collected (Tonnes),2007,324.7
Units Collected,2008,4902000
Weight Collected (Tonnes),2008,376.9
Units Collected,2009,4907000
Weight Collected (Tonnes),2009,418.6
Units Collected,2010,4701000
Weight Collected (Tonnes),2010,422.8
Units Collected,2011,4497000
Weight Collected (Tonnes),2011,397
Units Collected,2012,4317000
Weight Collected (Tonnes),2012,387.2
Units Collected,2013,4440000
Weight Collected (Tonnes),2013,400.1
Units Collected,2014,4331000
Weight Collected (Tonnes),2014,409.3
Units Collected,2015,4514000
Weight Collected (Tonnes),2015,414.5
Units Collected,2016,4566000
Weight Collected (Tonnes),2016,416
Units Collected,2017,4630000
Weight Collected (Tonnes),2017,430.5
