measure,year,value
Units Collected,2007,5857000
Weight Collected (Tonnes),2007,322.9
Units Collected,2008,6212000
Weight Collected (Tonnes),2008,372.4
Units Collected,2009,6117000
Weight Collected (Tonnes),2009,389.5
Units Collected,2010,3067000
Weight Collected (Tonnes),2010,389.8
Units Collected,2011,5750000
Weight Collected (Tonnes),2011,350.5
Units Collected,2012,5718000
Weight Collected (Tonnes),2012,362.2
Units Collected,2013,5808000
Weight Collected (Tonnes),2013,383.7
Units Collected,2014,5833000
Weight Collected (Tonnes),2014,374.5
Units Collected,2015,5803000
Weight Collected (Tonnes),2015,373.9
Units Collected,2016,5877000
Weight Collected (Tonnes),2016,377
Units Collected,2017,5843000
Weight Collected (Tonnes),2017,371.3
