measure,year,value
Units Collected,2007,10906000
Weight Collected (Tonnes),2007,1156.4
Units Collected,2008,12777000
Weight Collected (Tonnes),2008,1389.5
Units Collected,2009,12627000
Weight Collected (Tonnes),2009,1546.4
Units Collected,2010,12154000
Weight Collected (Tonnes),2010,1642
Units Collected,2011,11305000
Weight Collected (Tonnes),2011,1475.8
Units Collected,2012,12008000
Weight Collected (Tonnes),2012,1655.5
Units Collected,2013,12379000
Weight Collected (Tonnes),2013,1693.5
Units Collected,2014,12688000
Weight Collected (Tonnes),2014,1712.7
Units Collected,2015,13255000
Weight Collected (Tonnes),2015,1799.7
Units Collected,2016,13436000
Weight Collected (Tonnes),2016,1859
Units Collected,2017,12913000
Weight Collected (Tonnes),2017,1758.7
