measure,year,value
Units Collected,2007,37823000
Weight Collected (Tonnes),2007,2645.7
Units Collected,2008,40859000
Weight Collected (Tonnes),2008,3097.5
Units Collected,2009,40556000
Weight Collected (Tonnes),2009,3311.3
Units Collected,2010,38434000
Weight Collected (Tonnes),2010,3225.9
Units Collected,2011,36995000
Weight Collected (Tonnes),2011,2842.8
Units Collected,2012,36619000
Weight Collected (Tonnes),2012,2805.4
Units Collected,2013,36689000
Weight Collected (Tonnes),2013,2880.9
Units Collected,2014,35667000
Weight Collected (Tonnes),2014,2839.2
Units Collected,2015,36607000
Weight Collected (Tonnes),2015,2858.2
Units Collected,2016,37289000
Weight Collected (Tonnes),2016,2906.8
Units Collected,2017,39287000
Weight Collected (Tonnes),2017,3021.7
