regional_district,year,population
British Columbia,1986,3003621
British Columbia,1987,3048651
British Columbia,1988,3114761
British Columbia,1989,3196725
British Columbia,1990,3292111
British Columbia,1991,3373787
British Columbia,1992,3468802
British Columbia,1993,3567772
British Columbia,1994,3676075
British Columbia,1995,3777390
British Columbia,1996,3874317
British Columbia,1997,3948583
British Columbia,1998,3983113
British Columbia,1999,4011375
British Columbia,2000,4039230
British Columbia,2001,4076881
British Columbia,2002,4100161
British Columbia,2003,4123937
British Columbia,2004,4155017
British Columbia,2005,4195764
British Columbia,2006,4241794
British Columbia,2007,4290984
British Columbia,2008,4349336
British Columbia,2009,4410506
British Columbia,2010,4465546
British Columbia,2011,4502104
British Columbia,2012,4566769
British Columbia,2013,4630077
British Columbia,2014,4707103
British Columbia,2015,4776388
British Columbia,2016,4859250
British Columbia,2017,4922152
British Columbia,2018,4991687
East Kootenay,1986,54881
East Kootenay,1987,53745
East Kootenay,1988,52996
East Kootenay,1989,53516
East Kootenay,1990,54068
East Kootenay,1991,53749
East Kootenay,1992,54093
East Kootenay,1993,54891
East Kootenay,1994,55662
East Kootenay,1995,57217
East Kootenay,1996,58486
East Kootenay,1997,58113
East Kootenay,1998,57487
East Kootenay,1999,57389
East Kootenay,2000,57124
East Kootenay,2001,57017
East Kootenay,2002,56430
East Kootenay,2003,56080
East Kootenay,2004,55832
East Kootenay,2005,55691
East Kootenay,2006,56047
East Kootenay,2007,56286
East Kootenay,2008,57383
East Kootenay,2009,58013
East Kootenay,2010,57611
East Kootenay,2011,57718
East Kootenay,2012,58135
East Kootenay,2013,59156
East Kootenay,2014,60444
East Kootenay,2015,61825
East Kootenay,2016,62779
East Kootenay,2017,63173
East Kootenay,2018,64004
Central Kootenay,1986,50949
Central Kootenay,1987,50041
Central Kootenay,1988,49857
Central Kootenay,1989,50415
Central Kootenay,1990,51483
Central Kootenay,1991,52351
Central Kootenay,1992,54269
Central Kootenay,1993,55623
Central Kootenay,1994,57601
Central Kootenay,1995,58819
Central Kootenay,1996,60200
Central Kootenay,1997,60115
Central Kootenay,1998,59648
Central Kootenay,1999,59098
Central Kootenay,2000,58496
Central Kootenay,2001,57918
Central Kootenay,2002,57503
Central Kootenay,2003,57454
Central Kootenay,2004,56596
Central Kootenay,2005,56462
Central Kootenay,2006,56489
Central Kootenay,2007,57168
Central Kootenay,2008,58150
Central Kootenay,2009,58649
Central Kootenay,2010,58834
Central Kootenay,2011,59336
Central Kootenay,2012,59350
Central Kootenay,2013,59611
Central Kootenay,2014,60717
Central Kootenay,2015,61106
Central Kootenay,2016,61948
Central Kootenay,2017,62110
Central Kootenay,2018,62670
Kootenay-Boundary,1986,31347
Kootenay-Boundary,1987,30769
Kootenay-Boundary,1988,30669
Kootenay-Boundary,1989,31094
Kootenay-Boundary,1990,31584
Kootenay-Boundary,1991,31977
Kootenay-Boundary,1992,32399
Kootenay-Boundary,1993,32940
Kootenay-Boundary,1994,33505
Kootenay-Boundary,1995,33845
Kootenay-Boundary,1996,34066
Kootenay-Boundary,1997,33729
Kootenay-Boundary,1998,33431
Kootenay-Boundary,1999,33086
Kootenay-Boundary,2000,32649
Kootenay-Boundary,2001,32105
Kootenay-Boundary,2002,31854
Kootenay-Boundary,2003,31669
Kootenay-Boundary,2004,31113
Kootenay-Boundary,2005,31229
Kootenay-Boundary,2006,30814
Kootenay-Boundary,2007,31198
Kootenay-Boundary,2008,31684
Kootenay-Boundary,2009,31704
Kootenay-Boundary,2010,31316
Kootenay-Boundary,2011,31513
Kootenay-Boundary,2012,31635
Kootenay-Boundary,2013,31554
Kootenay-Boundary,2014,31999
Kootenay-Boundary,2015,32650
